difference,score,score_difference
-0.5550000000000068,0.409591,0.07257999999999998
-0.394999999999996,0.348794,-0.06079699999999999
0.030000000000001137,0.340924,-0.007869999999999988
-0.12000000000000455,0.34871,0.007786000000000015
-0.18999999999999773,0.352285,0.003574999999999995
-0.12999999999999545,0.35322,0.0009349999999999636
-0.1700000000000017,0.277267,-0.07595299999999999
-0.15000000000000568,0.280796,0.0035290000000000044
-0.0799999999999983,0.286977,0.006180999999999992
-0.045000000000001705,0.279263,-0.007713999999999999
0.25500000000000966,0.258109,-0.021154000000000006
-0.04999999999999716,0.255388,-0.0027209999999999734
0.09999999999999432,0.128518,-0.12687
0.06999999999999318,0.208879,0.08036100000000002
-0.12999999999999545,0.240848,0.031969
0.21980000000000643,0.267093,0.02624500000000002
-0.109800000000007,0.271804,0.004710999999999965
0.2400000000000091,0.364547,0.09274300000000002
0.0,0.3631,-0.0014470000000000316
0.03899999999998727,0.361317,-0.001782999999999979
0.15100000000001046,0.35454,-0.0067769999999999775
0.03999999999999204,0.363597,0.009056999999999982
0.0,0.377698,0.014100999999999975
-0.06999999999999318,0.362104,-0.015593999999999997
0.0,0.393013,0.03090900000000002
0.060000000000002274,0.394008,0.0009950000000000236
0.030000000000001137,-0.013276,-0.40728400000000003
0.03999999999999204,-0.024753,-0.011477000000000001
0.0,-0.021919,0.0028339999999999997
-0.0799999999999983,-0.138207,-0.116288
-0.01999999999999602,-0.11947,0.01873699999999999
-0.04999999999999716,-0.121635,-0.0021649999999999864
0.08499999999999375,-0.128856,-0.007221000000000005
0.045000000000001705,-0.162479,-0.033623000000000014
-0.10999999999999943,-0.142677,0.019802000000000014
0.009999999999990905,-0.155431,-0.012754000000000015
-0.015000000000000568,-0.205678,-0.050246999999999986
-0.07499999999998863,-0.177849,0.027828999999999993
-0.010000000000005116,0.235094,0.412943
0.09999999999999432,0.233506,-0.001588000000000006
0.030000000000001137,0.207031,-0.026475
-0.009000000000000341,0.218006,0.010975000000000013
0.009000000000000341,0.224996,0.006989999999999996
0.010000000000005116,0.217851,-0.0071450000000000125
0.030000000000001137,0.221647,0.0037960000000000216
-0.010000000000005116,0.248945,0.02729799999999999
0.010000000000005116,0.245739,-0.0032059999999999866
-0.01999999999999602,0.268991,0.023251999999999967
-0.05000000000001137,-0.533892,-0.802883
-0.03999999999999204,-0.555793,-0.02190099999999995
0.0799999999999983,-0.577708,-0.021915000000000018
0.0,-0.584584,-0.006875999999999993
-0.05500000000000682,-0.574277,0.010306999999999955
0.05500000000000682,-0.572285,0.0019919999999999938
-0.010000000000005116,-0.545494,0.02679100000000001
-0.01999999999999602,-0.535721,0.009773000000000032
0.010199999999997544,-0.530055,0.005665999999999949
0.02970000000000539,-0.540935,-0.01088
0.014099999999999113,-0.570301,-0.029365999999999892
0.0660000000000025,-0.565266,0.005034999999999901
-0.010000000000005116,0.276401,0.841667
0.10000000000000853,0.244491,-0.031909999999999994
-0.0350000000000108,0.250615,0.006123999999999963
0.015000000000000568,0.262714,0.012099000000000026
0.03499999999999659,0.249553,-0.013161000000000006
-0.024999999999991473,0.259433,0.009880000000000028
0.03999999999999204,0.214233,-0.04520000000000002
0.015000000000000568,0.116842,-0.097391
0.06500000000001194,0.113122,-0.003720000000000001
0.029999999999986926,0.156219,0.043096999999999996
-0.11929999999999552,0.203997,0.047778000000000015
0.11929999999999552,0.206485,0.0024879999999999902
-0.12999999999999545,0.215718,0.009232999999999991
-0.030000000000001137,0.240786,0.025068000000000007
0.005000000000009663,0.266755,0.02596900000000002
